Date,Sentiment,Analysis
2014-01-01,Missing,File not found
2014-01-02,Missing,File not found
2014-01-03,Missing,File not found
2014-01-04,Missing,File not found
2014-01-05,Missing,File not found
2014-01-06,Missing,File not found
2014-01-07,Missing,File not found
2014-01-08,Missing,File not found
2014-01-09,Missing,File not found
2014-01-10,Missing,File not found
2014-01-11,Missing,File not found
2014-01-12,Missing,File not found
2014-01-13,Missing,File not found
2014-01-14,Negative,"Alright, I need to analyze these tweets and figure out their impact on the stock price of the given company. The tweet in question is about the Nikkei index dropping after the US sell-off. Let me break it down.

First, identify the target stock symbol. The URL mentions ""ptr - asian stocks mixed after us sell-off ; nikkei drops over 2 %"", so I think the stock symbol might be something related to Asian stocks affected by the Nikkei drop.

Next, for each tweet, separate into positive and negative factors. Here, only one tweet is provided. The factor here is the Nikkei index dropping 2%, which is clearly a negative indicator for the market.

Then assess sentiment based on this single tweet. Since there's a direct mention of Nikkei drops, investors are likely seeing a decline in Nikkei, which affects the overall stock performance in Asia. Investors might be selling off their Asian stocks due to the Nikkei dropping, expecting more depreciation.

Putting it all together, the negative factor from the Nikkei drop suggests that investors will react negatively, which could lead to a negative sentiment impact on the company's stock price."
2014-01-15,Missing,File not found
2014-01-16,Missing,File not found
2014-01-17,Missing,File not found
2014-01-18,Missing,File not found
2014-01-19,Missing,File not found
2014-01-20,Missing,File not found
2014-01-21,Missing,File not found
2014-01-22,Missing,File not found
2014-01-23,Missing,File not found
2014-01-24,Missing,File not found
2014-01-25,Missing,File not found
2014-01-26,Missing,File not found
2014-01-27,Missing,File not found
2014-01-28,Missing,File not found
